Id,Label,timeset,latitude,longitude,colabs_total,modularity_class
4210153126,Istituti di Ricovero e Cura a Carattere Scientifico,,41.89193,12.51133,52628,1
83816512,University of Genoa,,44.40292,8.958889,52390,0
4068193,University of Belgrade,,44.80401,20.46513,52183,2
8961855,Universidad Nacional Autónoma de México,,19.42847,-99.12766,51742,0
193662353,Utrecht University,,52.09083,5.12222,51603,2
142263535,University of Nottingham,,52.93807,-1.196703,51602,0
24354313,University of Buenos Aires,,-34.61315,-58.37723,51408,2
197323543,Johannes Gutenberg University Mainz,,49.98419,8.2791,50977,2
139264467,Seoul National University,,37.460155,126.9519,50926,0
63135867,University of Cincinnati,,39.132023,-84.51555,50486,0
44260953,Heinrich Heine University Düsseldorf,,51.22172,6.77616,50388,2
1343871089,Los Alamos National Laboratory,,35.88808,-106.30697,50293,2
25217355,University of Pavia,,45.19205,9.15917,50288,2
201537933,Tohoku University,,38.26667,140.86667,50076,2
19880235,Lomonosov Moscow State University,,55.75222,37.61556,49509,0
25974101,University of Würzburg,,49.79391,9.95121,49321,2
74973139,Carnegie Mellon University,,40.44062,-79.99589,49169,2
168635309,University of Calgary,,51.05011,-114.08529,49000,2
1292875679,Commonwealth Scientific and Industrial Research Organisation,,-35.28346,149.12807,48968,2
71267560,University of Naples Federico II,,40.84722,14.256944,48889,2
161046081,University of Freiburg,,47.9959,7.85222,48659,2
24603500,University of Massachusetts Amherst,,42.37537,-72.51925,48465,2
79510175,Cardiff University,,51.48,-3.18,48065,0
157614274,University of Cape Town,,-33.96333,18.47639,47528,2
123044942,Autonomous University of Barcelona,,41.49109,2.14079,47127,0
75951250,Freie Universität Berlin,,52.52437,13.41053,47095,0
97565354,University of Lausanne,,46.516,6.63282,46789,1
47251452,Wake Forest University,,36.09986,-80.24422,46780,2
219193219,Purdue University West Lafayette,,40.42587,-86.90807,46543,2
145608581,University of Miami,,25.72149,-80.26838,45979,2
165690674,Oregon Health & Science University,,45.52345,-122.67621,45927,2
177877127,University of Western Australia,,-31.95224,115.8614,45853,2
185443292,Wayne State University,,42.33143,-83.04575,45349,2
15057530,University of Bordeaux,,44.84044,-0.5805,44947,0
63190737,"University at Buffalo, State University of New York",,42.88645,-78.87837,44888,0
177725633,Chinese University of Hong Kong,,22.419722,114.206795,44880,2
141596103,University of Lisbon,,38.71667,-9.13333,44710,0
84884186,Newcastle University,,54.97328,-1.61396,44574,0
102197404,University of Paris-Sud,,48.69572,2.18727,44370,0
86987016,KTH Royal Institute of Technology,,59.32938,18.06871,44214,0
95674353,Université Catholique de Louvain,,50.66829,4.61443,44109,1
16391192,Tel Aviv University,,32.113388,34.802155,44103,0
4654613,University of Warsaw,,52.22977,21.01178,43975,2
